param_name,biome,forcing,criteria,variable,measure,x
default,Boreal forest,CTL2010,FSDS_mean_Boreal forest,FSDS,mean,11.963304212352957
default,Boreal forest,CTL2010,FSDS_iav_Boreal forest,FSDS,iav,0.10179433238168006
default,Tundra,CTL2010,FSDS_mean_Tundra,FSDS,mean,9.167105405868535
default,Tundra,CTL2010,FSDS_iav_Tundra,FSDS,iav,0.06045900820248317
default,Ice sheet,CTL2010,TSA_mean_Ice sheet,TSA,mean,4.216671394971476
default,Ice sheet,CTL2010,TSA_iav_Ice sheet,TSA,iav,0.008203269853553907
default,Tropical rain forest,CTL2010,TSA_mean_Tropical rain forest,TSA,mean,9.554868762523954
default,Tropical rain forest,CTL2010,TSA_iav_Tropical rain forest,TSA,iav,0.005117487623445925
default,Tropical seasonal forest/savanna,CTL2010,TSA_mean_Tropical seasonal forest/savanna,TSA,mean,76.37275040764438
default,Tropical seasonal forest/savanna,CTL2010,TSA_iav_Tropical seasonal forest/savanna,TSA,iav,0.0373441115522534
default,Subtropical desert,CTL2010,TSA_mean_Subtropical desert,TSA,mean,67.99865891563987
default,Subtropical desert,CTL2010,TSA_iav_Subtropical desert,TSA,iav,0.04352098695153754
default,Temperate rain forest,CTL2010,TSA_mean_Temperate rain forest,TSA,mean,0.578352320665848
default,Temperate rain forest,CTL2010,TSA_iav_Temperate rain forest,TSA,iav,0.0005369805220817246
default,Temperate seasonal forest,CTL2010,TSA_mean_Temperate seasonal forest,TSA,mean,21.746596252062552
default,Temperate seasonal forest,CTL2010,TSA_iav_Temperate seasonal forest,TSA,iav,0.01488755751004245
default,Woodland/shrubland,CTL2010,TSA_mean_Woodland/shrubland,TSA,mean,38.37510078933118
default,Woodland/shrubland,CTL2010,TSA_iav_Woodland/shrubland,TSA,iav,0.024849507305494956
default,Temperate grassland/desert,CTL2010,TSA_mean_Temperate grassland/desert,TSA,mean,20.300008657968952
default,Temperate grassland/desert,CTL2010,TSA_iav_Temperate grassland/desert,TSA,iav,0.015193239419220116
default,Boreal forest,CTL2010,TSA_mean_Boreal forest,TSA,mean,24.99920130385222
default,Boreal forest,CTL2010,TSA_iav_Boreal forest,TSA,iav,0.03489570403407925
default,Tundra,CTL2010,TSA_mean_Tundra,TSA,mean,22.89838207780165
default,Tundra,CTL2010,TSA_iav_Tundra,TSA,iav,0.033935531779255575
default,Ice sheet,CTL2010,TSKIN_mean_Ice sheet,TSKIN,mean,4.19227270915032
default,Ice sheet,CTL2010,TSKIN_iav_Ice sheet,TSKIN,iav,0.010618294433066462
default,Tropical rain forest,CTL2010,TSKIN_mean_Tropical rain forest,TSKIN,mean,9.556921831919663
default,Tropical rain forest,CTL2010,TSKIN_iav_Tropical rain forest,TSKIN,iav,0.004540045042511787
default,Tropical seasonal forest/savanna,CTL2010,TSKIN_mean_Tropical seasonal forest/savanna,TSKIN,mean,76.63271809298244
default,Tropical seasonal forest/savanna,CTL2010,TSKIN_iav_Tropical seasonal forest/savanna,TSKIN,iav,0.03686756925659117
default,Subtropical desert,CTL2010,TSKIN_mean_Subtropical desert,TSKIN,mean,68.46500378380605
default,Subtropical desert,CTL2010,TSKIN_iav_Subtropical desert,TSKIN,iav,0.04386236602197603
default,Temperate rain forest,CTL2010,TSKIN_mean_Temperate rain forest,TSKIN,mean,0.5780554117417636
default,Temperate rain forest,CTL2010,TSKIN_iav_Temperate rain forest,TSKIN,iav,0.0005559724543941527
default,Temperate seasonal forest,CTL2010,TSKIN_mean_Temperate seasonal forest,TSKIN,mean,21.744663461137975
default,Temperate seasonal forest,CTL2010,TSKIN_iav_Temperate seasonal forest,TSKIN,iav,0.015516605038264108
default,Woodland/shrubland,CTL2010,TSKIN_mean_Woodland/shrubland,TSKIN,mean,38.46674235925182
default,Woodland/shrubland,CTL2010,TSKIN_iav_Woodland/shrubland,TSKIN,iav,0.02672323571769011
default,Temperate grassland/desert,CTL2010,TSKIN_mean_Temperate grassland/desert,TSKIN,mean,20.44359447450869
default,Temperate grassland/desert,CTL2010,TSKIN_iav_Temperate grassland/desert,TSKIN,iav,0.014468124161303834
default,Boreal forest,CTL2010,TSKIN_mean_Boreal forest,TSKIN,mean,25.01459116948456
default,Boreal forest,CTL2010,TSKIN_iav_Boreal forest,TSKIN,iav,0.03388636447878393
default,Tundra,CTL2010,TSKIN_mean_Tundra,TSKIN,mean,22.881748083891054
default,Tundra,CTL2010,TSKIN_iav_Tundra,TSKIN,iav,0.03880494269212157
default,Ice sheet,CTL2010,Q2M_mean_Ice sheet,Q2M,mean,2.326174864053516e-05
default,Ice sheet,CTL2010,Q2M_iav_Ice sheet,Q2M,iav,6.549681289462723e-07
default,Tropical rain forest,CTL2010,Q2M_mean_Tropical rain forest,Q2M,mean,0.0006208095178401242
default,Tropical rain forest,CTL2010,Q2M_iav_Tropical rain forest,Q2M,iav,7.753588426333246e-06
default,Tropical seasonal forest/savanna,CTL2010,Q2M_mean_Tropical seasonal forest/savanna,Q2M,mean,0.003898808784175899
default,Tropical seasonal forest/savanna,CTL2010,Q2M_iav_Tropical seasonal forest/savanna,Q2M,iav,5.399344222558244e-05
default,Subtropical desert,CTL2010,Q2M_mean_Subtropical desert,Q2M,mean,0.0019017271960502552
default,Subtropical desert,CTL2010,Q2M_iav_Subtropical desert,Q2M,iav,4.622846606347423e-05
